name,priceRange,rating,reviewCount,address,locality,url
Empanadas Malvon Retiro,$$ - $$$,5.0,143,Calle Narvaez 60,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17609785-Reviews-Empanadas_Malvon_Retiro-Madrid.html
Lettera Trattoria Moderna,$$ - $$$,4.5,31,Calle de la Reina 20,,https://www.tripadvisor.com/Restaurant_Review-g562642-d19738350-Reviews-Lettera_Trattoria_Moderna-Community_of_Madrid.html
Beytna Restaurante,$$ - $$$,5.0,135,Calle Moscatelar 18,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d18968021-Reviews-Beytna_Restaurante-Madrid.html
Trattoria Pulcinella,$$ - $$$,4.5,1149,Calle Regueros 7,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html
Kathmandu Tandoori House Nepali & Indian Cuisine,$$ - $$$,5.0,1964,Calle Acuario 11 B . Plaza de hermanos,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House_Nepali_Indian_Cuisine-Madrid.html
Golden Bar Restaurant,$$ - $$$,4.0,25,Calle Grafal 2,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17298262-Reviews-Golden_Bar_Restaurant-Madrid.html
La Cabana Argentina,$$ - $$$,4.5,2104,Calle Ventura de la Vega 10,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d796535-Reviews-La_Cabana_Argentina-Madrid.html
Entre Santos Madrid,$$ - $$$,5.0,656,Calle de San Bartolome 4,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14062978-Reviews-Entre_Santos_Madrid-Madrid.html
Azotea Forus Barcelo,$$ - $$$,5.0,1398,Calle Barcelo 6,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html
Restaurante DCorazon,$$ - $$$,4.5,2174,Plaza Mayor 30 Entrada al restaurante por Calle de la Sal 2,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_DCorazon-Madrid.html
Los Montes de Galicia,$$ - $$$,5.0,8660,Calle Azcona 46,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2006562-Reviews-Los_Montes_de_Galicia-Madrid.html
Astor,$$ - $$$,5.0,1351,Calle del Almendro 9,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html
